mcid,program,peer_group
MCID3111314963,Electrical,starters
MCID3111314968,Civil,starters
MCID3111315194,Mechanical,starters
MCID3111315236,Electrical,starters
MCID3111315319,Mechanical,starters
MCID3111315488,Electrical,starters
MCID3111316065,Electrical,starters
MCID3111316101,Mechanical,starters
MCID3111316135,Civil,starters
MCID3111316270,Mechanical,starters
MCID3111316273,Electrical,starters
MCID3111316440,Mechanical,starters
MCID3111316471,Electrical,starters
MCID3111316608,Mechanical,starters
MCID3111316627,Mechanical,starters
MCID3111316676,Civil,starters
MCID3111316678,Civil,starters
MCID3111316750,Mechanical,starters
MCID3111316751,Mechanical,starters
MCID3111316775,Electrical,starters
MCID3111316833,Mechanical,starters
MCID3111316915,Mechanical,starters
MCID3111316936,Mechanical,starters
MCID3111316968,Electrical,starters
MCID3111316980,Civil,starters
MCID3111317137,Mechanical,starters
MCID3111317146,Mechanical,starters
MCID3111317184,Electrical,starters
MCID3111317198,Mechanical,starters
MCID3111317204,Mechanical,starters
MCID3111317302,Civil,starters
MCID3111317339,Electrical,starters
MCID3111317359,Electrical,starters
MCID3111317380,Mechanical,starters
MCID3111317383,Mechanical,starters
MCID3111317431,Electrical,starters
MCID3111317471,Mechanical,starters
MCID3111317483,Civil,starters
MCID3111317486,Civil,starters
MCID3111317496,Mechanical,starters
MCID3111317555,Civil,starters
MCID3111317568,Electrical,starters
MCID3111317580,Mechanical,starters
MCID3111317653,Electrical,starters
MCID3111317716,Civil,starters
MCID3111317811,Civil,starters
MCID3111317943,Civil,starters
MCID3111318044,Electrical,starters
MCID3111318048,Electrical,starters
MCID3111318100,Electrical,starters
MCID3111318282,Electrical,starters
MCID3111318299,Mechanical,starters
MCID3111318305,Mechanical,starters
MCID3111318325,Mechanical,starters
MCID3111318342,Civil,starters
MCID3111318379,Electrical,starters
MCID3111318446,Mechanical,starters
MCID3111318552,Mechanical,starters
MCID3111318601,Electrical,starters
MCID3111319844,Mechanical,starters
MCID3111323104,Civil,starters
MCID3111323269,Electrical,starters
MCID3111326117,Electrical,starters
MCID3111326243,Electrical,starters
MCID3111326301,Electrical,starters
MCID3111330223,Civil,starters
MCID3111330246,Mechanical,starters
MCID3111330678,Mechanical,starters
MCID3111335273,Electrical,starters
MCID3111335455,Electrical,starters
MCID3111335558,Mechanical,starters
MCID3111335593,Mechanical,starters
MCID3111335599,Mechanical,starters
MCID3111335657,Mechanical,starters
MCID3111336361,Electrical,starters
MCID3111337112,Electrical,starters
MCID3111337135,Electrical,starters
MCID3111337201,Electrical,starters
MCID3111337221,Civil,starters
MCID3111337230,Electrical,starters
MCID3111337237,Electrical,starters
MCID3111338128,Mechanical,starters
MCID3111339187,Electrical,starters
MCID3111339188,Electrical,starters
